,RE,Hour,X_start,Y_start,X_end,Y_end
274,212.7705220582329,11,46.4833492,30.7192474,46.4805779,30.7166145
275,80.45591352382986,12,46.4725074,30.7413197,46.4754809,30.7417755
276,410.61081331958087,12,46.4738077,30.7239064,46.4739896,30.7212203
277,230.80514287242775,8,46.481606,30.7322459,46.485999,30.7147032
278,330.7507955848993,23,46.4173043,30.7264673,47.566632,-3.0860809
279,408.3443245698714,14,46.4002626,30.7324964,46.4002626,30.7324964
280,280.3214504692395,6,46.4732562,30.7311014,50.8617044,5.1109055
281,351.3321810065787,16,46.4321718,30.7608926,46.4312468,30.7614661
282,219.16579615313145,8,46.4242154,30.7050349,46.418826,30.7158395
283,391.9629870398102,14,46.481606,30.7322459,46.4769382,30.7261811
284,253.69969760998387,10,46.4061894,30.7104919,46.4054027,30.7140068
285,130.740230265524,4,46.4685241,30.7382746,46.4677793,30.7376958
286,451.4288490733533,5,46.4706574,30.7468872,46.4829488,30.7344421
287,253.71340327630452,17,46.4458936,30.7583782,39.9097199,-86.184918
288,355.7631664581262,5,46.4386816,30.7498664,46.4363923,30.750335
289,267.7552271865168,14,46.4811924,30.7384494,46.4811924,30.7384494
290,420.39249507123594,6,46.4404648,30.7573771,46.4466201,30.749009
291,485.57797151726726,14,46.4502445,30.7524782,39.9095787,-86.1852791
292,510.340818833992,21,46.481606,30.7322459,46.4824507,30.7323593
293,461.03685145021655,9,46.4545004,30.7441332,46.4349565,30.721037
294,338.6161631194664,4,,,46.486097,30.7036889
295,225.23125732946585,16,46.4542703,30.7274957,46.4528351,30.7203058
296,467.60824177331506,19,46.481606,30.7322459,46.4824507,30.7323593
297,406.2971282335299,6,46.4684401,30.7396111,47.5821138,-3.1347768
298,363.52861207472637,18,46.4321718,30.7608926,46.4321718,30.7608926
299,247.67491671505286,5,46.4924172,30.7139329,46.4933853,30.7038108
300,365.0516712598793,13,46.4415411,30.7048096,49.0104992,7.6261879
301,582.3127369639013,13,46.4321718,30.7608926,39.9097152,-86.1852825
302,324.4394518519159,22,46.4796607,30.707564,46.487761,30.6991315
303,544.852627115675,17,46.4925567,30.713697,46.4932273,30.7099658
304,235.11264830593666,5,46.4349973,30.726903,-18.4760755,-49.0160662
305,803.8149109844071,10,46.4301349,30.7284229,46.4292149,30.7215093
306,275.542109506765,21,46.4428542,30.7268465,46.4535697,30.7289471
307,490.73287255712665,21,46.4685241,30.7382746,46.4677793,30.7376958
308,402.4217657463694,20,46.4883667,30.7235889,46.4868016,30.7226619
309,154.5529598840469,19,46.4685241,30.7382746,46.4691299,30.7366286
310,274.6555977975564,10,46.4404816,30.7565413,-18.4943541,-49.0249221
311,371.61133332645556,7,46.4696046,30.7385158,46.4327396,30.7653115
312,398.6320267634768,17,46.4404816,30.7565413,39.392469,30.0367638
313,148.51839940945192,6,46.4396071,30.7572752,46.4466201,30.749009
314,857.3580553238771,22,46.4489792,30.7331369,46.4244327,30.7243469
315,232.81244947902016,10,46.4648434,30.7065873,46.4613529,30.706616
316,555.3504360480326,17,46.4684401,30.7396111,46.4754809,30.7417755
317,325.78244318973674,15,46.5711572,30.7924188,42.3114059,-71.1059422
318,151.0816073594713,11,46.4678,30.7464076,-9.2773746,-75.9079139
319,552.3276271003193,5,46.4002626,30.7324964,46.4244327,30.7243469
320,177.52137988085704,0,46.4702214,30.7532757,39.9101054,-86.1878845
321,281.13119691684807,8,46.4319326,30.7251854,46.4348515,30.7211786
322,539.3953906946504,12,46.4726652,30.7392481,46.4704069,30.753321
323,504.71533843765513,22,46.4680134,30.74168,-18.493081,-49.023335
324,516.3780119675997,16,46.4321858,30.7169737,47.566632,-3.0860809
325,272.5979478363443,18,46.4732562,30.7311014,46.4753547,30.7420066
326,391.7589337956233,17,46.4283956,30.7573536,46.4312468,30.7614661
327,159.60445869310252,9,46.3999134,30.7329743,46.3905981,30.7237057
328,258.86473009679185,5,46.4768679,30.7377955,46.4829488,30.7344421
329,495.5801345980415,21,46.4796563,30.7078682,46.4796663,30.7114714
330,518.5374393942807,11,46.4859993,30.7292244,,
331,333.42927311113345,12,46.5115437,30.7219079,46.4972256,30.7213613
332,427.6076725701885,14,46.3901748,30.7330408,46.3929735,30.7342122
333,166.8411554080992,8,46.485215,30.722006,46.4856855,30.714351
334,503.43288422888503,15,46.4301349,30.7284229,,
335,484.18120182220275,8,46.4890082,30.7198605,33.1015094,117.3217642
336,375.831527009943,11,46.4748414,30.7113454,46.4759938,30.7116276
337,502.3139526259225,15,46.4585416,30.7294143,46.1760283,10.3612079
338,222.03586631206525,18,46.4870066,30.7329909,33.0673948,117.3223436
339,170.2362319867731,7,46.479788,30.7196738,41.8277757,-71.3693386
340,274.56297953252164,6,46.4268553,30.7253537,46.4258732,30.7240324
341,295.537471684074,12,46.5751568,30.8070223,42.5822232,-83.9783737
342,301.8987447281641,13,46.4395578,30.7564245,39.9095787,-86.1852791
343,304.38578722307415,20,46.4685241,30.7382746,46.4677793,30.7376958
344,325.85008509973886,20,46.4744584,30.7553738,13.2571996,10.4763909
345,480.9886253332089,8,46.4648434,30.7065873,13.2568494,10.4777996
346,207.17831931903828,4,46.4183977,30.7333802,-18.5082115,-49.0179569
347,239.91583587210013,9,46.4685241,30.7382746,46.4677793,30.7376958
348,354.87785103303924,6,46.4061894,30.7104919,46.4147984,30.7128181
349,452.15001523214784,10,46.4690053,30.7486466,46.4688928,30.7501988
350,139.45961731877605,8,46.4641297,30.7504302,39.910006,-86.1879404
351,198.1530892455795,10,46.4685241,30.7382746,46.4677793,30.7376958
352,162.27080856639537,11,46.4625391,30.7135482,,
353,296.6469572650426,9,46.4725074,30.7413197,46.1757282,10.3633129
354,167.82892494442808,1,46.4268553,30.7253537,-18.477523,-49.0157765
355,163.2837717765078,6,46.4648434,30.7065873,46.4760172,30.7349424
356,361.46185875829656,9,46.4458936,30.7583782,-18.4943541,-49.0249221
357,468.82854289016467,8,46.4759326,30.7178833,39.9095714,-86.1854462
358,364.3445739344811,17,46.4489792,30.7331369,46.4550835,30.7534408
359,232.30901797169545,10,46.4813813,30.7356154,,
360,343.3242874858246,6,46.4404816,30.7565413,-18.4943541,-49.0249221
361,254.9486112393335,9,46.4759111,30.7349248,46.476068,30.7327486
362,532.4875709700315,16,46.4404816,30.7565413,39.9099056,-86.1877405
363,361.24314257952636,15,46.4870066,30.7329909,46.4859561,30.73596
364,228.11591580001192,9,,,46.4704069,30.753321
365,642.0632608069128,18,46.4851874,30.712765,46.4851874,30.712765
366,256.24550602145007,15,46.4796607,30.707564,46.482469,30.7210458
367,226.61880525701375,9,46.4732562,30.7311014,46.4744702,30.7154062
368,59.878728365860276,8,,,62.2856248,-7.0776978
369,265.16530338169605,12,46.4738077,30.7239064,46.4738077,30.7239064
370,261.86504960061797,6,46.4684401,30.7396111,46.4683432,30.7408402
371,405.4268292157296,5,46.5711572,30.7924188,42.3114059,-71.1059422
372,246.59089383712714,5,46.4271497,30.7513037,46.4235101,30.7530925
373,153.95351401141954,13,46.4694581,30.7408978,40.8245671,-73.3060277
374,161.5209902349726,19,46.4796563,30.7078682,55.6567537,37.3533118
375,415.3979103689212,9,46.4183977,30.7333802,46.4062529,30.7203589
376,336.50958637845685,18,46.4932273,30.7099658,46.4907733,30.6954876
377,150.8402300435596,15,46.4361815,30.7414853,46.4371259,30.7314841
378,241.9473296507326,17,46.4811924,30.7384494,33.1015094,117.3217642
379,126.96038044697855,1,46.4377262,30.7459145,46.4466201,30.749009
380,396.13025897752647,19,46.4051673,30.7100065,46.4032789,30.7034247
381,561.2395700852246,8,46.4738077,30.7239064,-18.4760323,-49.0161654
382,653.1719568929182,13,46.4725074,30.7413197,46.4754809,30.7417755
383,591.641078095362,16,46.4725074,30.7413197,46.4704069,30.753321
384,440.53583849235935,5,46.4239986,30.7607448,46.4225172,30.755794
385,536.7212752995201,10,46.4748414,30.7113454,41.8277757,-71.3693386
386,377.96436677561155,19,46.4685241,30.7382746,46.4677793,30.7376958
387,525.1540634441641,19,46.4953953,30.7200656,33.1015094,117.3217642
388,212.4042084711685,9,46.5653865,30.7906746,42.5820988,-83.9788699
389,444.9197271254555,21,46.4349565,30.721037,46.4349565,30.721037
390,512.0327036424188,8,46.4685241,30.7382746,46.4677793,30.7376958
391,250.05684069623211,18,46.4617712,30.7554916,46.1760283,10.3612079
392,311.35214015026713,13,46.4233564,30.7468682,46.4321895,30.7485915
393,439.14238550197297,11,46.4361815,30.7414853,46.4321895,30.7485915
394,293.74707070974506,11,46.4732562,30.7311014,46.4754504,30.7314026
395,290.10430987814715,8,46.4727605,30.7254913,46.4737569,30.7242945
